"","id","Decimal.Latitude","Decimal.Longitude"
"759",2940,48.99722,-97.22917
"760",1029,49.015,-106.91889
"761",4556,58.45,-111.06667
"762",14082,55.410147,-105.758445
"763",14198,55.410147,-105.758445
"764",13888,52.941847,-73.107078
"765",2992,48.99722,-97.22917
"766",2985,48.99722,-97.22917
"767",14278,56.159482,-125.441985
"768",3287,60,-98
"769",4101,55,-125
"770",14252,55.443204,-97.404876
"771",13899,55.443204,-97.404876
"772",3101,48.99722,-97.22917
"773",13545,60.108611,-113.6425
"774",14040,52.941847,-73.107078
"775",3941,50,-86
"776",13640,60.108611,-113.6425
"777",13916,46.666605,-66.291594
"778",13603,60.108611,-113.6425
"779",3230,48.99722,-97.22917
"780",5893,67.75,29.5
"781",3719,55,-115
"782",14304,55.443204,-97.404876
"783",3997,46.5,-66.75
"784",9137,-3.63333,-23.51667
"785",14289,51.433288,-87.125633
"786",4008,54,-72
"787",4152,46.5,-66.75
"788",13918,51.433288,-87.125633
"789",8610,42.91667,-68.7
"790",9138,32.76667,-39.35
"791",4204,50,-86
"792",4263,55,-97
"793",4219,50,-86
"794",4581,48.46667,-89.15
"795",14325,46.666605,-66.291594
"796",3135,48.99722,-97.22917
"797",14283,45.290147,-62.735984
"798",5897,67.75,29.5
"799",4229,55,-125
"800",14658,60.108611,-113.6425
"801",3301,60,-98
"802",2904,48.99722,-97.22917
"803",1024,49.015,-106.91889
"804",2935,48.99722,-97.22917
"805",4021,54,-72
"806",4182,55.410147,-105.758445
"807",14104,55.410147,-105.758445
"808",3722,50,-86
"809",13614,60.108611,-113.6425
"810",14769,60.108611,-113.6425
"811",4250,55,-97
"812",2857,48.99722,-97.22917
"813",2885,48.99722,-97.22917
"814",14709,60.108611,-113.6425
"815",3755,55,-115
"816",1021,51.81667,-94
"817",3042,48.99722,-97.22917
"818",3012,48.99722,-97.22917
"819",3858,50,-86
"820",3852,50,-86
"821",13943,55.410147,-105.758445
"822",3708,55,-115
"823",2866,48.99722,-97.22917
"824",2896,48.99722,-97.22917
"825",13955,45.290147,-62.735984
"826",14526,51.433288,-87.125633
"827",14087,56.159482,-125.441985
"828",14091,45.290147,-62.735984
"829",3080,48.99722,-97.22917
"830",3124,48.99722,-97.22917
"831",3142,48.99722,-97.22917
"832",14280,46.666605,-66.291594
"833",3938,55,-125
"834",4220,54,-72
"835",13556,60.108611,-113.6425
"836",13613,60.108611,-113.6425
"837",14750,55.410147,-105.758445
"838",14352,51.433288,-87.125633
"839",14530,55.443204,-97.404876
"840",3863,50,-86
"841",3872,46.5,-66.75
"842",2856,48.99722,-97.22917
"843",3738,50,-86
"844",6175,62.85,16.66667
"845",14235,45.290147,-62.735984
"846",4111,54,-106
"847",4194,55,-97
"848",14743,52.941847,-73.107078
"849",14686,56.159482,-125.441985
"850",13517,60.108611,-113.6425
"851",14459,52.941847,-73.107078
"852",13555,60.108611,-113.6425
"853",2947,48.99722,-97.22917
"854",14351,45.290147,-62.735984
"855",889,48.7,-93.16667
"856",14571,51.433288,-87.125633
"857",14294,55.142948,-114.807219
"858",3293,60,-98
"859",13911,55.410147,-105.758445
"860",14284,51.433288,-87.125633
"861",3998,45,-63
"862",13976,52.941847,-73.107078
"863",4249,55,-125
"864",13921,55.443204,-97.404876
"865",3838,45,-63
"866",4218,45,-63
"867",4075,50,-86
"868",2974,48.99722,-97.22917
"869",3041,48.99722,-97.22917
"870",4232,50,-86
"871",4065,55,-125
"872",2916,48.99722,-97.22917
"873",14179,55.443204,-97.404876
"874",3870,54,-72
"875",13529,60.108611,-113.6425
"876",3038,48.99722,-97.22917
"877",3177,48.99722,-97.22917
"878",4207,55,-97
"879",18148,51.433288,-87.125633
"880",14482,46.666605,-66.291594
"881",3999,50,-86
"882",14521,55.443204,-97.404876
"883",13796,46.666605,-66.291594
